-[ RECORD 1 ]------------------+--------------------------------------------------------------------
case_number                    | I-200-25247-286366
amended_petition               | 0
employer_name                  | Kansas State University
soc_code                       | 25-1032
h_1b_dependent                 | No
-[ RECORD 30 ]-----------------+--------------------------------------------------------------------
case_number                    | I-200-25062-739820
job_title                      | Clinical Associate Professor
employer_name                  | Kansas State University
secondary_entity_business_name | 
employer_phone                 | 17855326449
employer_poc_first_name        | Ang
employer_poc_last_name         | Robson
employer_poc_email             | arobson@ksu.edu
employer_poc_phone             | 17855326449
employer_poc_phone_ext         | 
worksite_address1              | 1620 Denison Ave
worksite_address2              | 
worksite_city                  | Manhattan
worksite_county                | RILEY
lawfirm_name_business_name     | 
employer_address1              | International Student and Scholar Services
employer_address2              | 1414 Mid Campus Dr. North
employer_city                  | Manhattan
employer_state                 | KS
employer_postal_code           | 66506
begin_date                     | 2025-07-23
end_date                       | 2028-07-22
total_worker_positions         | 1
new_employment                 | 0
continued_employment           | 1
change_previous_employment     | 0
new_concurrent_employment      | 0
change_employer                | 0
amended_petition               | 0
employer_name                  | Kansas State University
soc_code                       | 25-1071
h_1b_dependent                 | No
-[ RECORD 31 ]-----------------+--------------------------------------------------------------------
case_number                    | I-200-25062-739820
job_title                      | Clinical Associate Professor
employer_name                  | Kansas State University
secondary_entity_business_name | 
employer_phone                 | 17855326449
employer_poc_first_name        | Ang
employer_poc_last_name         | Robson
employer_poc_email             | arobson@ksu.edu
employer_poc_phone             | 17855326449
employer_poc_phone_ext         | 
worksite_address1              | 1620 Denison Ave
worksite_address2              | 
worksite_city                  | Manhattan
worksite_county                | RILEY
lawfirm_name_business_name     | 
